Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
0414_013,0,0.03186757241044764,0,0.14824027034183446,0.12928608026595528,0.03529550721667472,0,0.0002,0.05599434272905706,0.0011281758401260463,0.05002677781143717,0.09171271429021709,0.43785004524626076,0.003602862153789662,0,0.0020508534232467897,0,0,0.012786527436605728,0,0,0,0,0.7460248239831846,0.6918775016179767
1425_143,0.002839134171901887,0.08129395260146936,0,0.2892661347842642,0.046581460628602994,0.1803821416051129,0,0.07742162579099594,0.02021917662262943,0,0.008228270156118518,0.05350649147666975,0.2287039707468877,0,0,0.010780688798582664,0,0.0008,0,0,0,0,0,0.7531499090046836,0.685174847059411
1453_103,0.016986338404152347,0.027406042076598153,0,0.42665133810404676,0,0,0.015616785955662483,0.004071461747607469,0,0,0.015808955216010244,0.11685116541257404,0.35746323652387785,0.0025152695208651927,0,0.010780256172701877,0,0.0036885622279694682,0.0021605886379340313,0,0,0,0,0.7696689978864973,0.6617305170059595
1086_084,0.03789348477103299,0.05656313158070548,0,0.08399625751402635,0.05771633647147212,0.05612594931095236,0.010506479903001246,0,0,0.006654370493358846,0.050811209246253305,0.056461926362317366,0.5437469204458422,0.009544832607774875,0,0.016847798143882004,0,0.004911427516044957,0.008219875633335825,0,0,0,0,0.7007361466418898,0.7239500022827406
1403_124,0.0005,0.06021216679833434,0,0.11995188551736095,0.07998651427830775,0.12319760443861677,0.04681056555074577,0.004428733915251467,0.03303337601314545,0.06584111381978333,0.012310952459528133,0.07379859739783567,0.366879143285794,0,0,0.009390964436770996,0,0.003609157267462292,0,0,0,0,0,0.7703556392639609,0.6799889652113554
1768_158,0.012541379924466732,0.06711505800085066,0,0.2339492112287047,0.14964264110583175,0,0.0009,0.002394364224660794,0.040207064119882105,0,0.08069125533671792,0.06375069962081095,0.32868332477516865,0.003006559551406213,0,0.0028551659866893854,0,0.0003,0.013888307710719767,0,0,0,0,0.727993972751156,0.7092705553663974
1658_155,0.001761041949733412,0.038276690419405485,0,0.29497844047663385,0,0.020109561773076462,0,0,0.0007,0.053736631174548896,0.01272836131347849,0.08369022460967576,0.4732793987246132,0.007076744552671995,0,0.0008,0,0.0002,0.0023358170780270727,0,0,0.01021239770067858,0,0.732364444212761,0.6931216348477917
0127_028,0.03009026645273245,0.02096529170159492,0,0.29226883350805744,0,0.1487698355000397,0,0.001769307310610892,0.0021940811454610127,0,0,0.165942717675027,0.3349214889359803,0.0003,0,0.002809226499244986,0,0,0,0,0,0,0,0.7715005765328091,0.6611943412360604
0480_104,0.001809556974317223,0.06841540830039992,0,0.28051577267779104,0.02366987819135499,0.0024424986226586195,0.03415048026703933,0,0.021358473784862615,0,0.08725996949642538,0.10993183310582753,0.355860219859278,0,0,0.0018477919836609614,0,0,0.012738116736384352,0,0,0,0,0.7945672799551832,0.6456317749498707
0090_179,0.0028353926321865743,0.047306717607863334,0,0.056916516314296464,0.07134453908955399,0.11810923074098664,0,0.0031966500998820884,0.0006,0.05399266277272592,0.1761208213159264,0.06575646025976986,0.4000390253254258,0,0,0.0017806962000981796,0,0.001404103237541025,0,0.0006,0,0,0,0.7823377489032133,0.6511649651733704
0444_014,0.0017389484157474616,0.07016311302060937,0,0.35127013193383005,0.026574125719330835,0,0.010997442580432615,0.0022800428851184103,0.03763323077382124,0.08738635782185598,0.03318213518254615,0.12210468220190883,0.24395609505935328,0,0,0.005320836003614431,0,0,0.007392858401831224,0,0,0,0,0.7974314965237719,0.6302150667052778
0818_105,0,0.049678389841293316,0,0.20695605534769299,0,0.05103056542664733,0.02187895418840334,0.011198592028890904,0.0009,0,0,0.09128321923819276,0.5487078097009145,0.006845751374976856,0,0.00881926835476995,0,0,0,0.0027287142158142702,0,0,0,0.719906668501039,0.7055522091550707
1078_072,0,0.05108154694566721,0,0.11287500577150061,0.15621789234878167,0.06870153635717154,0.022483620406570162,0,0.01436132404085275,0.005908362400695809,0.09247816681330498,0.11297811479328208,0.356894894104978,0,0,0.005802645195631807,0,0,0.0002,0,0,0,0,0.7678413679589381,0.6736335259424252
0434_090,0.010457846754025205,0.011423892015059002,0,0.5164781529366154,0.019274609049909745,0,0.00539923394120084,0.001942131781412867,0.006765675970758772,0,0.0328176789172156,0.1116637789890209,0.2729419997983545,0,0,0.006297940355483622,0,0,0.004502442578272308,0,0,0,0,0.776126961996853,0.6450961316443851
0549_093,0.02290848703410802,0.0211758537218999,0,0.2995257707754084,0.008471579886346042,0.026767525002483014,0.020401633735038012,0,0,0,0.17067795139228026,0.1316825021626967,0.28465506251350337,0,0,0.003088412038393284,0,0.0012880104122409222,0.009357211325602044,0,0,0,0,0.7912026366167912,0.6282572321555238
1828_173,0,0.0363030742263633,0,0.27696188689889867,0.0390524074181727,0.023091175948198667,0.03676706591685357,0,0,0.048876298972365985,0.2048800726885628,0.06506676715504092,0.2610640067398483,0,0,0.0036858895450738813,0,0.0004,0.003846090333192813,0,0,0,0,0.820931147753567,0.5975871834195675
0619_020,0.0008,0.0424047299518429,0,0.11390942452192653,0.0713791737003996,0.07161262274223038,0.010651625064100927,0.005412493955902802,0.00781741593474293,0,0.015430665033480182,0.1061465493556755,0.5394990154768021,0,0,0.004113776783707943,0,0.0012358508507527037,0,0.009611193043870954,0,0,0,0.7548597307943798,0.6774702734935325
0893_054,0,0.056745744717426085,0,0.1284929194906008,0.015086791486008508,0.22491072759446218,0,0.025596293155154534,0.0007,0.1255128075970314,0.0705059429236543,0.08415219853893863,0.2646197980907104,0.0001,0,0.002501679152199936,0,0.001053007334754658,0.0001,0,0,0,0,0.7701744619841939,0.6616884954931278
1011_082,0.0011353505588310052,0.07805331476425437,0,0.21398595892224234,0,0.10944488194128853,0,0,0.037118879848248854,0.07830319202917732,0.09733833864912766,0.06793952232339946,0.31287613038938294,0,0,0.0013450512453053213,0,0,0.0024593793287421115,0,0,0,0,0.7871090296749054,0.6492382251943019
1572_175,0.005520854345518206,0.007442600460269006,0,0.28808296539047556,0.02789900941708353,0.061399203636652515,0.0001,0.006354607214882687,0.0363390073677918,0.01897754370020019,0,0.05680672350988346,0.4708084178988965,0.003581550914532155,0,0.0020109048055970296,0,0,0.014638900303952684,0,0,0,0,0.7770548495807725,0.6597128662621161
1386_198,0,0.0039492850293794315,0,0.2523279743246579,0.07253005565709093,0.04562695301586009,0,0,0,0.09344464208953521,0.01026775874712276,0.07034489025673003,0.4324274148895545,0.0018151305941978746,0,0,0,0,0,0.009948592402544683,0,0.007317302993326547,0,0.7192206041415333,0.7048584023803603
0165_016,0.025186663524688947,0.059224322337378635,0,0.15698787448092058,0.0696397057699111,0.1327398707503647,0.0016006209591831234,0.002592863778997394,0.03430315976478778,0.020978583147727988,0.052556387519406354,0.07783632160602501,0.3475795031152264,0.002118808893646591,0,0.003937435226709962,0,0.0008,0.011892511466313692,0,0,0,0,0.7660411057645174,0.6819238349910405
