Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
0414_013,0,0.023957444349413486,0,0.15454057850054723,0.06485611020547644,0.10661149970075721,0.030858067351408256,0,0,0,0.07186699991597356,0.015026883231225172,0.5081730453113251,0.0023721921925443615,0,0.004226815601222279,0,0.0013944263425401402,0.016115937297566746,0,0,0,0,0.7308276411005726,0.7015177486463398
1425_143,0.019890454670223556,0.037447229820390816,0,0.2810011193141419,0.07928235913735293,0.06219489916235791,0.045502605322892804,0,0,0,0.07720412246890726,0.05453094758069812,0.3214671566571412,0,0,0.0035586721364181785,0,0.0043865688923597134,0.013533864837115704,0,0,0,0,0.7489301949830667,0.691677894085848
1453_103,0.08356940087104099,0.005376842518308032,0,0.4658976870527956,0,0.08045390139794029,0.004192124568805988,0,0,0.012828940696601046,0.023557742545000395,0.14340344274125053,0.1756304650247977,0,0,0.002448693198285751,0,0.0011708140979308549,0.0014699452872428262,0,0,0,0,0.7448111990639614,0.6737151957507245
1086_084,0.06852882019396962,0.03150087330532476,0,0.0927354842987742,0.014737807747543496,0.10377022064711652,0.030243904862196157,0,0.0019144768882544947,0.024040835459275274,0.08082361927011866,0.06054945486623296,0.4801565593809782,0,0,0.0019370106615189512,0,0.002237086873813094,0,0.00682384554488362,0,0,0,0.7281827277135143,0.7052323117282323
1403_124,0.010158483791737156,0.054247097945102137,0,0.15631278994161676,0.20085161518591862,0.12871539609442348,0.03827184428832798,0,0.013934886684561942,0,0.034912120317144024,0.06593623175951906,0.28026999919713474,0,0,0.0051149544673853254,0,0.0006,0.010640752363546422,0,0,0,0,0.7464919846165646,0.6984240344383247
1768_158,0.03904054466901024,0.012746286432935391,0,0.28433695905520967,0.10742419113488516,0,0.039658518296285104,0,0.001483876822773045,0,0.09548780548769685,0.06235227402705338,0.3411525130934508,0,0,0.0029462963199606393,0,0.0006,0.01280118255953806,0,0,0,0,0.7716999686941203,0.6693785198722848
1658_155,0.004836578740448783,0.029161662925222934,0,0.32861136249097334,0,0.010629528306895264,0.02429601484083733,0,0,0.09694711450131605,0.05865713881865266,0.007879614776174467,0.41759374067359234,0.0035090124839499853,0,0.005243531893300533,0,0.0033966453172298776,0.009238054231406443,0,0,0,0,0.7714042637257214,0.6610000725061015
0127_028,0.011961152193663172,0.01947750511050746,0,0.25894976386463975,0.0081159494867356,0.1410842178783856,0.0009,0,0,0.02210182614211158,0.010292910852994648,0.09349104106883223,0.41066696872829256,0,0,0.0028612444404072677,0,0.0007,0.008460325026205437,0,0,0.010860247925028559,0,0.7413248012028252,0.6909190429697133
0480_104,0.006582172313106409,0.028888977731195378,0,0.358911035998549,0.06072359969070919,0,0.046945169212428084,0,0.0005,0,0.09868962161820671,0.06884938784001994,0.3182655788751543,0,0,0.0072325827216103466,0,0,0.004436903836477875,0,0,0,0,0.7767984131568756,0.6573410544754186
0090_179,0.01923676193793737,0.04398846438966741,0,0.16483850200755054,0.13553768458721974,0.02783588953364621,0.01447718071281595,0,0,0.014454320052448497,0.1684355998191706,0.035669790888419754,0.34407804148516746,0.0015828969638589686,0,0.0024554701428524386,0,0,0.02740939747924494,0,0,0,0,0.743334290968469,0.6945133591771591
0444_014,0.013264835329273595,0.017822015803026916,0,0.36500564968447324,0,0.06696333365313897,0.029106587455503156,0,0,0.03884019844055654,0.09331200523269984,0.04140694695904124,0.3140516302265791,0,0,0.00421596745546454,0,0.00113592929650538,0.014874900463737387,0,0,0,0,0.789458496184896,0.6437997930900075
0818_105,0,0.03215424373035372,0,0.32015144560276776,0,0,0.013244085211819176,0,0,0,0.028624677330830278,0.07744900308287062,0.4836460392414512,0.003114323001998526,0,0.00810266280787262,0,0,0.03351351999003602,0,0,0,0,0.730379002277258,0.6988422813253086
1078_072,0,0.009589255372800318,0,0.18770506435403025,0.09332884691423707,0.12379585640623646,0.015512816147499721,0,0,0,0.09095271167187091,0.058151426300632955,0.4110619311696339,0.0009,0,0.0022422718584027956,0,0,0.006765922673672376,0,0,0,0,0.7840580374599748,0.6563766183519207
0434_090,0,0.02272946592198038,0,0.44827266819978145,0.04055019182866661,0,0.028561744100600136,0,0.0034528850505201113,0,0.06158730803393863,0.07174538318993602,0.30949075374984236,0.00137542915245955,0,0.0009,0,0.0004,0.010998460312114178,0,0,0,0,0.7529095725340293,0.6743302671180427
0549_093,0.04074577177186435,0.036109164935960086,0,0.2387758499083744,0.014487603670545983,0.07246050502381332,0.025180432872363052,0.001,0.006550479475359567,0,0.1123905879366633,0.09036217380340641,0.3451080180088707,0,0,0.012034844907795307,0,0.00483369642285006,0,0,0,0,0,0.7705381575880629,0.6678890908895794
1828_173,0.0013528481537594182,0.012670909666425671,0,0.18911850572871639,0,0.13550428285206767,0.013132411622568977,0,0,0,0.1838238076741207,0,0.4481130489658536,0.0016483521840712702,0,0.002695108144918407,0,0.0009,0.01103339547824022,0,0,0,0,0.755081519014252,0.6764606914168391
0619_020,0.011055561125040582,0.011575171676784915,0.0015774112864078535,0.12219523691186746,0,0.1236520859362931,0.006348423823231596,0,0.010845565636186922,0,0.058850958275587055,0.04059988035210571,0.5893647678239192,0.007892512008664735,0,0,0,0.001299275465788332,0.01474314967812257,0,0,0,0,0.7491986164656331,0.6770367157326419
0893_054,0.009214397951585953,0.05532455213656514,0,0.12843114074837558,0.02471815353571254,0.2309630830853272,0.016942954760410748,0,0,0,0.2127917137937752,0,0.30403156101059153,0,0,0.0026638119704814624,0,0.00152132863934661,0.013397302367827948,0,0,0,0,0.7580725684394174,0.6818527174248423
